site_no,dec_lat_va,dec_long_va,qw_begin_date,qw_end_date
1400555,40.26666667,-74.46638889,,
1400560,40.27444444,-74.4725,4/15/1960,8/28/2006
140056410,40.2797222,-74.4861111,4/5/2018,8/20/2019
1400565,40.2775,-74.4908333,5/19/2010,1/14/2011
1400580,40.29027778,-74.5222222,4/15/1960,10/16/1963
1400583,40.2933333,-74.5272222,,
1400589,40.25305556,-74.4875,,
1400591,40.25277778,-74.50277778,5/19/2010,1/14/2011
1400593,40.2611111,-74.5141667,5/19/1967,9/3/1970
1400596,40.26,-74.5186111,9/3/1970,9/3/1970
1400598,40.27027778,-74.5222222,10/29/2003,10/29/2003
1400599,40.27694444,-74.5347222,10/29/2003,1/14/2011
140059950,40.2808333,-74.53638889,,
1400600,40.2911111,-74.5491667,5/6/1959,3/28/1962
1400610,40.28916667,-74.5530556,5/6/1959,5/6/1959
1400630,40.3033333,-74.5755556,,
1400640,40.3133333,-74.5891667,9/24/1959,9/20/2023
1400650,40.32194444,-74.6083333,11/23/1975,6/14/2010
1400670,40.29,-74.4558333,4/15/1960,8/25/1964
1400690,40.30527778,-74.4730556,11/5/1998,8/11/1999
1400700,40.30777778,-74.4866667,9/23/1959,8/25/1964
1400720,40.32388889,-74.56527778,,
1400725,40.3261111,-74.60277778,11/23/1975,6/14/2010
1400730,40.32416667,-74.61388889,4/5/1963,7/15/1975
1400740,40.24944444,-74.56638889,,
1400742,40.2572222,-74.5708333,,
1400750,40.26694444,-74.57888889,4/15/1960,3/28/1962
1400767,40.26194444,-74.54777778,,
1400770,40.26805556,-74.5655556,4/15/1960,10/16/1963
1400775,40.27805556,-74.5772222,12/3/2008,8/23/2010
1400780,40.28194444,-74.5880556,,
1400795,40.2947222,-74.5925,,
1400800,40.2975,-74.5947222,9/23/1959,10/19/1993
1400802,40.30194444,-74.59888889,,
1400803,40.30638889,-74.6019444,10/19/1993,10/19/1993
1400806,40.3147222,-74.6086111,11/23/1975,6/14/1978
1400808,40.31805556,-74.6122222,11/25/2002,8/14/2008
1400810,40.3225,-74.61638889,5/19/1967,5/19/1967
1400820,40.32444444,-74.6225,4/15/1960,3/28/1962
1400822,40.31805556,-74.6336111,,
1400823,40.36194444,-74.545,11/14/2006,8/20/2008
1400825,40.34666667,-74.5572222,,
1400829,40.34416667,-74.5994444,,
1400830,40.3358333,-74.6022222,,
1400831,40.3333333,-74.6119444,11/23/1975,6/14/1978
1400834,40.3386111,-74.6294444,11/24/1975,5/3/2005
1400842,40.37805556,-74.8586111,,
1400850,40.37694444,-74.8255556,3/13/1970,12/17/1970
1400860,40.4183333,-74.7872222,11/16/2004,9/12/2023
1400870,40.4033333,-74.8016667,3/13/1970,5/27/2010
1400878,40.39138889,-74.7897222,11/12/2015,8/7/2017
1400880,40.38138889,-74.80277778,,
1400883,40.37388889,-74.7941667,6/30/2005,6/30/2005
1400900,40.36527778,-74.7869444,4/21/1960,4/15/1970
1400907,40.35916667,-74.7986111,,
1400908,40.3575,-74.79638889,,
1400910,40.35194444,-74.7841667,,
1400913,40.34916667,-74.7819444,8/19/1987,12/3/2010
1400920,40.33916667,-74.7780556,,
1400923,40.34055556,-74.81027778,,
1400925,40.33916667,-74.8016667,,
1400927,40.3375,-74.7986111,,
1400930,40.3383333,-74.7969444,7/30/1960,4/13/1988
1400932,40.34055556,-74.7805556,10/17/1962,6/2/1970
1400936,40.33138889,-74.7922222,,
1400938,40.33388889,-74.7825,,
